category,title,url,where
Books,How to Invest in Hedge Funds: An Investment Professional's Guide,http://link.springer.com/10.1057/palgrave.dutr.1840010,p352
Books,Leadership Structures in the Family Office,http://link.springer.com/10.1007/978-3-319-99085-9_13,p367
Books,Improving Service Quality of Wealth Management Bank for High-Net-Worth Customers During COVID-19: A Fuzzy-DEMATEL Approach,https://link.springer.com/10.1007/s40815-021-01130-w,p406
Books,Criteria affecting Taiwan wealth management banks in serving high-net-worth individuals during COVID-19: a DEMATEL approach,https://link.springer.com/10.1057/s41264-021-00103-2,p407
Books,"- ""California Wills and Trusts"" (Second Edition 2024) by Wendel & Popovich (casebook, California Probate Code-specific)",,p528
Books,"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition",https://www.qeios.com/read/TAIKY6/pdf,p842
Books,"Trusts Law Text and Materials, Fourth edition",https://cmls-global.com/wp-content/uploads/2018/03/Trusts-Law.pdf,p877
Books,"Attitudes toward the Use of Force: Instrumental Imperatives, Moral Principles, and International Law",https://onlinelibrary.wiley.com/doi/10.1111/ajps.12635,p930
Books,ERISA and the Failure of Employers to Perform Their Fiduciary Duties: Evidence from a Survey of Health Plan Administrators.,https://www.cambridge.org/core/product/identifier/S1073110525101599/type/journal_article,p1114
Books,Improving the AHT in Telecommunication Companies by Automatic Modeling of Call Center Service,http://link.springer.com/10.1007/978-3-030-30244-3_9,p1989
Books,Dignity and Power Relations Between Call-Center Companies and Clients,https://link.springer.com/10.1007/978-3-030-68560-7_11,p1990
